nama_pengguna,rating,tanggal,ulasan
Hengki Setiawan,1,2026-07-09 12:32:42,"dari kemarin foto KTP aja eror terus, aplikasi BRImo sangat mengecewakan. payah."
Nazriel Ardians,5,2026-07-09 12:30:06,sangat membantu
Muhamad Nurohman,5,2026-07-09 12:24:32,Lebih Mudah Bayar Apapun Bisa Di mana mana dan aman terpercaya Terimakasih 🙏🥰
Syaif Cs,5,2026-07-09 12:07:26,saran untuk update nya. tolong kalo bisa untuk kirim kode OTP bisa lewat wa. karena susah kalo kartu sim sudah tidak aktf. pas minta kode OTP tidak bisa
giyar no,5,2026-07-09 12:05:42,bri pancen ok
Adul Kliwon,5,2026-07-09 12:02:50,terimakasih
Gio Mbae,3,2026-07-09 11:56:09,"Makin kesini makin ribet,, tar klo update lagi minta aktif kan kamera.... hadewwwwww,,,,,"
endrimulyono 1702,5,2026-07-09 11:56:09,lebih mudah dan cepat..
irfan zidny,5,2026-07-09 11:42:06,terbaikh
Adit Spy,1,2026-07-09 11:40:15,masih terkendala verifikasi upload ktp padahal banyak sekali yang komplain terkait verifikasi KTP dan wajah tapi masih aja belum ada perubahan. menyedihkan sekali bank negara kalah dengan bank swasta
Susi Kusmiati,5,2026-07-09 11:35:15,terimakasih brimo telah membantu pengiriman saat berada diluar negri
Ismail Hasan,5,2026-07-09 11:27:44,mantap sangat membantu
Layinatin Masula,5,2026-07-09 11:27:20,mempermudah
Aditya Kurniawan,5,2026-07-09 11:23:28,"BRImo jadi aplikasi wajib saya buat top up saldo digital seperti DANA, OVO, atau GoPay karena prosesnya instan dan mudah. Sistem keamanannya juga bikin tenang karena sudah mendukung fingerprint/face ID dan setiap transaksi dilindungi PIN. Riwayat mutasi rekening juga bisa dicek kapan saja dengan detail"
Bukan Introvert,1,2026-07-09 11:18:06,"sumpah kecewa banget sama aplikasi brimo udah 2 minggu mondar mandir betulin dari kantor BRI tapi tetep aja ga ada solusi, mana gaji masih ada di dalem brimo"
Mira,5,2026-07-09 11:08:45,ok
Opini Jelata,2,2026-07-09 11:07:03,Jadi lemot dibuka ditambah harus aktifkan GPS tiap kali pakai aplikasi. sangat buruk 👎
Mustofa Afifi,5,2026-07-09 11:03:39,Memper mudah transaksi
Ari saldi,5,2026-07-09 11:02:56,Aplikasi ini sangat membantu
Nuralim gondrong,5,2026-07-09 10:59:11,enak dan mudah digunakan
Tuk iyem,1,2026-07-09 10:54:11,"saya mau masuk ternyata belum mendapatkan SMS otp masuk sampai beberapa kali, sudah beberapa waktu begitu juga,ngk seperti biasanya"
Zahwa Qolbiana,1,2026-07-09 10:52:41,"haloo, Sobar BRI saya sudah menyampaikan terkait penipuan online Transfer kepada rekening ilegal dengan nomor tujuan BANK BRI tetapi pengaduan yg sudah saya lakukanlah ke polisi cyber, IASC OJK dan bank terkait maupun bank anda tidak dilanjutkan dengan alasan pihak bank tidak bisa memiliki rekening pengguna kecuali dari pemilik padahal rekening tersebut merupakan pelaku penipuan berarti dengan ini secara tidak langsung BRI mendukung pelaku penipuan bahkan bisa saja merupakan salah satu sindikat."
Adie S Lubis Jaguar 06-01,5,2026-07-09 10:52:13,mantap👌👌👌
Yan Pratama,5,2026-07-09 10:48:47,sangat memudahkan dalam bertransaksi
Rinuyah Afkar,3,2026-07-09 10:44:52,dari kemarin verivikasi ga bisa Mulu... tolong penjelasannya dong
Tuti Nurhayati,5,2026-07-09 10:44:02,sip keren pokonya
Rhomdoni_k,1,2026-07-09 10:41:20,aplikasi apa ini TF aja gak bisa
Ka Mali,5,2026-07-09 10:32:09,mudah2an lancar trus
Ade Irma,4,2026-07-09 10:24:21,Baik
arif wahyu,1,2026-07-09 10:22:01,"semakin kesini semakin buruk .. udah sebulan gbsa login gara^ VERIF WAJAH (!) tolong lah di perbaiki segera, sbg nasabah setia KECEWA BERAT .."
Roby Eka,3,2026-07-09 10:20:22,error gak bisa masuk
sardi mj,4,2026-07-09 10:11:52,"layanan briguna di brimo gak bisa lagi y, sayang sekali, padahal sangat membantu, klo harus ke kantor, jauh"
Nazwa Aulia putri,5,2026-07-09 10:09:06,baguss🔥🔥🔥🔥
Yunita Elsi Maya Tanaem Maya Tanaem,5,2026-07-09 10:08:32,Terbaik mudah dan cepat pokoknya The Best
Parta Kusmana,1,2026-07-09 09:53:56,pengajuan kartu kredit lewat web pakai hp. kamera belakang tidak bisa dipakai untuk poto ktp. gmn dong
sudar sono,5,2026-07-09 09:49:48,sementara belum bisa di buka untuk aplikasi brimoku
Iwan Rawaman,1,2026-07-09 09:44:51,"gak bisa fhoto KTP, mau buka rekening jadi gak bisa terus... gimana ini dong?"
Rozi Muhrozi,5,2026-07-09 09:44:17,ada masalah saat instalasi ulang kenapa selalu gagal setelah HP update ke system yang baru
rico ico,2,2026-07-09 09:44:02,"susah,ribet otp di tunggu berjam jam ndak masuk2,tanya cs juga disuruh coba terus ndak ada penyelesaian nya."
Rendi Andika6,5,2026-07-09 09:38:50,👍bagus
ngabdilah potatoes,1,2026-07-09 09:35:36,tidak bisa login udah 1 bulan👎
Roni Ega,5,2026-07-09 09:32:55,mantapp..pokona mah..
Bunda Anggakiray,5,2026-07-09 09:31:45,"bagus memudahkan kita buat transaksi, mudah digunakan aplikasinya sanagat bermanfaat"
Wanto Ir,5,2026-07-09 09:31:16,Mudah dan Cepat
Cucu Cahayati,5,2026-07-09 09:28:17,keren
Najian Human,5,2026-07-09 09:25:32,"aplikasi yang bikin mudah banget kalo mau bayar apapun, sampe bayar cicilan motor pun gampanggg 🤩"
Suhardi Then,5,2026-07-09 09:24:29,aplikasi yg sangat membantu semua kegiatan transaksi
Muhammad Rois,5,2026-07-09 09:03:49,oke
Nazril Atharazka,5,2026-07-09 09:00:27,hulu ruksak
Arsih Likan,4,2026-07-09 08:50:57,mantap
Rosmini Ali12,1,2026-07-09 08:41:25,"kokk mau login koneksi kurang bagus terus padahal jaringan dah lancar, mana dag sebulan kekk gituu"
Grathio Imanuel,4,2026-07-09 08:37:32,Aplikasinya lumayan membantu
Hasanah Nindi,5,2026-07-09 08:25:13,"cepat dan efisien digunakan, TDK perlu repot Bawak uang cas🫣😁"
Soni Antara,5,2026-07-09 08:18:27,lebih memudahkan dna cepat
faesal anwar,1,2026-07-09 08:11:29,"untuk penanganan masalah verifikasi wajah terlalu lama butuh waktu 10 hari kerja,contoh tu BCA dengan masalah sama 1x24 jam langsung selesei"
Yuli Ardilan,5,2026-07-09 08:07:12,👍👍👍👍👍👍👍
Jude TX,1,2026-07-09 08:00:08,"fitur Qrisnya sering bermasalah. bahkan kadang transaksi gagal tapi saldo terpotong. buat pengaduan di kontak diaplikasinya lama dan ribet. masa bank negara sistemnya sering buruk begini. jangan melihat masalah sistem pada transaksi yg kecil dari pelanggan. kalau yg dialami ratusan hingga ribuan, coba dikalikan, berapa jumlah uang yg dirugikan?"
Moh Idil,2,2026-07-09 07:54:58,minta tolong brimo di perbaiki masa verifikasi muka tidak bisa sudah mau 3 bukan gak bisa masuk kerna verifikasi wajah gagal terus
Aldila Rahakbau,5,2026-07-09 07:54:30,suka aja
By Arta,5,2026-07-09 07:36:32,sangat praktis dan mudah untuk di pakai
Ipong Widoro,5,2026-07-09 07:20:07,sangat mudah dan cepat membantu transaksi
syukrie khan,5,2026-07-09 07:18:27,sangat mudah dan fitur lengkap
maria wenny,5,2026-07-09 07:09:45,memang sangat membantu dalam bertransaksi
kalvin wajong,5,2026-07-09 07:06:06,😃
Rizky Januri,5,2026-07-09 06:50:41,"Mohon maaf saya waktu itu salah paham🙏 saya ternyata salah karena mengira mengirim saldo Rp40.000 dan punya saldo Rp45.000 dikira kurang rupanya itu hanya dari rekening saya yang tabungan. Saya beri ulasan lagi, aplikasi ini sangat bagus dan berkualitas dan aman bukan penipuan, berjalan dengan lancar👍⭐"
Hendrayana,5,2026-07-09 06:33:01,Aplikasi ini sangat membantu dalam transaksi 👍
Ariez Maulana,1,2026-07-09 06:32:46,ga bisa dibuka njirr
YANA SURYANA,5,2026-07-09 06:23:19,muda cepat dan aman👍
Rosa Amelia,5,2026-07-09 06:06:54,bagus heheh
Fie Fi,4,2026-07-09 05:45:08,"urusan transfer,tagihan dan lain2 jika dengan brimo jadi lebih mudah di lakukan dimna saja.."
Kurniawan Suhana,1,2026-07-09 05:15:30,tidak bisa d buka di hp samsung A45
Pipin Handayani,5,2026-07-09 03:50:37,semuanya jd lebih mudah
parudin jasim,5,2026-07-09 03:29:14,i love you ❤️❤️❤️❤️
Adi Setiawan dinda,5,2026-07-09 02:07:08,good job
Ali samudra Tadjudin,1,2026-07-09 01:35:45,baru juga mau verifikasi pendaftaran malah banyak eror nya . tolong di perbaiki biar gak ribet kalau mmg benar apk ini dari bank ternama ..
Jarwo Klimis,2,2026-07-09 01:33:11,Cek aktivitas lama
salam suryadi,5,2026-07-09 00:43:12,kren
Andri Fauji,5,2026-07-09 00:39:17,"mudah ,nyaman mantap pokoknya"
Romi Doni,1,2026-07-09 00:29:38,tidak bisa login verifikasi wajah selalu gagal
Agus Setiawan,4,2026-07-09 00:29:33,bri guna tidak bisa di gunakan
Tasya Ymik,5,2026-07-09 00:11:14,Aman Ya
galeto kidd,1,2026-07-09 00:10:23,upload fotoktp lama sekali ya
David Ramdan,3,2026-07-09 00:05:44,"aneh qris disini doang yg sring bngt mentenence , pas mau bayar gangguan mulu tiap malam kocak ."
Nur Rohmah,5,2026-07-09 00:03:34,sangat mudah sekali dan orangnya ramah ramah pelayanannya pokoknya bri the best
Yashika Margaretha,1,2026-07-09 00:03:15,"hati2 dgn KARTU KREDIT bank ini. prinsip mrk itu selalu benar meski pembuatan kartu melalui aplikasi yg bekerjasama, yg berlaku HANYA peraturan mrk. semua TRANSAKSI di billing maupun yg blm tercatat ( cicilan maupun transaksi berjalan ) > itu DIHITUNG semua hingga pemilik dikenakan biaya outstanding ataupun biaya materai. pencatatan billing mrk mengenai cicilan jg TUMPANG TINDIH. pemilik kartu di HARUSKAN memiliki rekening di bank mrk jika mau dilayani cs di chat. kalau gak hrs by phone d"
Maza Catur,1,2026-07-09 00:01:47,APL dengan Pelayanan BANK paling Buruk
dodo Cheche,5,2026-07-08 23:47:18,sangat membantu Aku di perantauan ni🥹
Adam Asia,1,2026-07-08 23:41:34,I.T kalian hebat !!! sangking hebat nya verifikasi wajah selalu gagal...terus potongan tiap bulan dari rekening saya untuk apa ????? kalau verifikasi wajah saja dipersulit !!!!
Maria Yuli Puspitasari,5,2026-07-08 23:28:52,sangat baik
Raihan Iqbal,1,2026-07-08 23:25:08,fitur on gps hanya menambah ribet
Ramadan Riau,5,2026-07-08 23:06:29,lebih mudah untuk transaksi 🙏
Nugraha Saputra,5,2026-07-08 22:50:27,saya suka
Utha Doang,1,2026-07-08 22:46:54,kena blokir udah live chat gk ada solusi malah suruh ke kantor apa gunanya live chat BRI memang bang paling payah
dewan pratama,1,2026-07-08 22:39:47,"setiap verifikasi wajah selalu gagal , selalu keluar notif jaringan yang jelek , udah pakai 2 provider dan internet untuk aplikasi lain nya lancar lancar saja , lihat banyak yang ngeluh yang sama berati memang aplikasi nya yang bermasalah"
Yaneta Batseba Ga,5,2026-07-08 22:33:31,Brimo memang yang terbaik untuk saya semoga jaya.terima kasih
Andre Plenger,4,2026-07-08 22:19:10,4 bintang dulu ya
Alimah Komper,5,2026-07-08 22:16:23,mudah dan praktis
noreen gallery,1,2026-07-08 22:10:54,cacat sistem
Fredi Yanto,5,2026-07-08 22:07:23,aplikasi brimo emang oke bnget bikin jd mudah dalam transfer maupun pembayaran lewat qris.
Rahma Oktaviani,5,2026-07-08 22:05:44,good
Iwan Kurniawan,5,2026-07-08 21:52:05,"baru bisa masuk apk brimo setelah sekian lama, mudah2n semakin mudah dan aman, sejauh ini tidak ada kendala. 👍"
Sunardi Service,1,2026-07-08 21:42:40,"aplikasi ko ga tampil di layar,padahal dh di update"
gb master,1,2026-07-08 21:41:27,verifikasi kntol udah coba seharian g bisa bisa
Samsiatun Chasanah,1,2026-07-08 21:37:25,Sudah deri 25 Juni 2026 - sekarang (dah 10 hari) masih ga bisa login kendala Verifikasi Wajah. ternyata di sini banyak komplain hal yg sama. emang aplikasinya jelek ajaa ini sih. bikin repot.
Zeth Muhammad Gibran,1,2026-07-08 21:34:09,bug
Kiki putri Amelia,5,2026-07-08 21:20:25,bagus banget
Yaya Comel,5,2026-07-08 20:52:12,sangat bagus
Cilacap Bercahaya,5,2026-07-08 20:51:28,sangat bagus dang sangat membantu
M. akbar,1,2026-07-08 20:42:57,sering eror koneksi tolol
Mohammad Alfi Naim,1,2026-07-08 20:35:48,"brimo aplikasi sampah,"
Nisam pras,4,2026-07-08 20:24:06,"saya gagal terus waktu verifikasi wajah, setelah hp di reset ulang. sayasudah menghubungi cs tapi tetap masih gagal."
Midarniwati Bago,5,2026-07-08 20:15:45,sangat memudahkan
Putri Ramadhayanti,1,2026-07-08 20:14:19,susah banget masuk ke apk di brimo. aktivis mencurigakan terus sam tidak terdeteksi.belum bisa2 akun apk nya😪
Suanto,5,2026-07-08 20:10:06,"keren, cepat bermanfaat, tapi kok sekarang kalau mau buka aplikasi brimo harus aktifkan lokasi dulu baru bisa buka kenapa"
Modesta Laba,5,2026-07-08 20:05:04,Aplikasi Brimo Error aplikasi tidak berfungsi karena sudah d root. mohon solusinya
Vinsensiu Koeng Koeng,5,2026-07-08 20:01:59,sangat memuas kan apk yg cocok buat saya
Gepon Gepon,5,2026-07-08 20:00:33,sangat memuaskan
Yogi Yog,5,2026-07-08 19:59:56,sangat membantu sekali
David Hermansyah,5,2026-07-08 19:56:39,sangat bermanfaat sekali
Prawiro waditro,5,2026-07-08 19:54:25,"Pertahankan brimo, transaksi lancar tak perlu antri ke atm lagi."
Ivan,1,2026-07-08 19:47:16,pelayanan sangat buruk ke nasabah dan tidak direkomendasikan ke pengguna kartu kredit. secara tak langsung bank BRI melakukan korupsi biaya ESTATEMNT kartu kredit apabila kelebihan bayar/tidak digunakan sama sekali.
Putri Tunggal,5,2026-07-08 19:43:53,lebih mudah dan efisien
Irfan Hakim,1,2026-07-08 19:28:03,sudah 2 minggu aplikasi Brimo sayabtidak dapat diakses. Sudah saya klik berkali2 tetap tidak mau masuk ke aplikasinya. Sudah saya coba hapus dan instal ulang tetap tidak mau masuk. Saya minta Tolong kepada admin untuk segera merespon keluhan saya.
Tarianto,5,2026-07-08 19:20:25,mau transaksi apapun jadi mudah🥰🥰🥰🥰🥰 n menyenangkan
Win Narto,5,2026-07-08 19:13:13,brimo is the best
Gamer Pemula,1,2026-07-08 19:12:47,"SUDAH 2X DAPAT PINJAMAN DI BRIGUNA DIGITAL, TIDAK ADA KETERLAMBATAN YG SIGNIFIKAN KARNA OTOMATIS DIPOTONG DARI GAJI, NAMUN SETELAH LUNAS MAU LAKUKAN PINJAMAN KE 3 KATANYA TIDAK MEMENUHI SYARAT PENAWARAN, BANK APA KEK GINI TAK LAYAK DIPAKAI"
Kedaihp Weleri,5,2026-07-08 19:03:16,baguss
DANDIII Dan,5,2026-07-08 19:02:15,😝😝😝
Rizaldi Oyee,1,2026-07-08 18:55:57,ngk bisa login. kan taik
Moh Hsby ragiel,5,2026-07-08 18:55:43,terimakasih Brimo.. sangat membantu sekali....
Fadhilah Asma',3,2026-07-08 18:53:55,"susah bt sekarang daftar brimo GX kek dulu, eror"" trs d tambah d suruh perbaiki jaringan trs hadeeeh, bisa tambah perbaiki LG gx"
Dasirah,5,2026-07-08 18:53:09,"Maaf br kasih ulasan,saya merasa puas menggunakan aplikasi brimo,alhamdulilaah aman tidak ada gendala apapun,terima kasih sangat membantu sekalii brimo?"
Baru Baru,5,2026-07-08 18:33:25,terimakasih transaksi lebih cepat dengan adanya brimo
Salsa Nadila,1,2026-07-08 18:30:53,"MAU DAFTAR GA BISA² SELALU GAGAL, PADAHAL JARINGAN FULL KAMERA TIDAK BLUR GAJELAS"
Idhet Chanser,5,2026-07-08 18:23:56,terbaik
fadli Jailolo,5,2026-07-08 18:16:59,Bgus kok
Jesiana Rambu,5,2026-07-08 18:12:46,sangat berguna
hadi Suriyanto,5,2026-07-08 18:04:20,suka banget dengan aplikasi BRimo ini transfer cepat dan praktis.akukasih bintang lima sebagae tanda kebanggaan pemakaian aplikasi.
Destri Khaer,1,2026-07-08 18:02:55,"udah seminggu lebih ga bisa masuk krna gagal verifikasi wajah, udah hapus akun daftar baru lgi ga bisa kendala di verifikasi wajah terus. masalah koneksi internet lah, pdhal full data, wifi juga. ke bank langsung kta Cs nya hpnya yg bermasalah. masa pakai 3 hp ga bisa semua. sistem aplikasinya x yg bermasalah. Tolong diperbaiki aplikasinya."
Yusril Rezpeck007,4,2026-07-08 17:46:21,puass
KARAMUNTING,1,2026-07-08 17:46:05,"aplikasi tidak merespon, info aplikasi mogok"
Sarotun Innayah,5,2026-07-08 17:41:22,sangat puas dg pelayanan Brimo mempermudah semua transaksi
Reski Nur,5,2026-07-08 17:40:32,sangat membantu untuk transaksi
Kadal Mesin,5,2026-07-08 17:40:24,"sejauh ini bagus,kita bisa transaksi dg mudah,dan bisa pantau nominal kita di atm"
Andika_Sabda,1,2026-07-08 17:38:12,saya tidak bisa login ke dalam brimo
Naufal Saputra,5,2026-07-08 17:26:35,simple
Sugi Anto,5,2026-07-08 17:21:49,"terimakasih brimo , sangat memudahkan saya untuk bertransaksi👍"
Bismillah,1,2026-07-08 17:19:09,"maksudnya apa yah, mau TF gak bisa mulu katanya koneksi kurang baik, padahal buat YouTube tiktok lancar banget.. BRI mau ngapain.?? saldo mau di tahan.???"
Agus Supriadi,5,2026-07-08 17:19:07,mempermudah transaksi disegala kebutuhan keuangan
ahmad ipul,5,2026-07-08 17:11:11,trima ksh super duper
Nurrhns 1401,5,2026-07-08 17:05:56,sangat membantu 🫶🏻🫶🏻
Ainur Baeti15,5,2026-07-08 17:01:34,Semoga Tetep Bagus seperti ini yaaa
Sandal_ Gaming,1,2026-07-08 16:54:56,"eror mulu cok, nau login doang ribet"
War to,5,2026-07-08 16:54:06,sangat bermanfaat
Keisya Karunia (Inesz),5,2026-07-08 16:46:06,Sngt memudahkan dlm bertransaksi 🙂
Nakmi,5,2026-07-08 16:44:06,asik
Heni Imut,5,2026-07-08 16:24:38,cepet dalam transaksi apapun
Afriyan_25,1,2026-07-08 16:20:25,"verifikasi wajah gagal terus, gimana ini solusinya, padahal pencahayaan juga jelas,wajah terlihat jelas. Tapi tetap aja gagal"
Rusdyanto Rusdyanto,4,2026-07-08 16:17:20,baguss sihh
Eli Suhaeli,5,2026-07-08 16:00:21,semoga bisa lebih bagus dan profesional dalam pelayanan serta bisa terus memberikan kenyamanan pada nasabah.
Anto Warrock,5,2026-07-08 15:58:46,nyaman dan mudah digunakan dan udah update
Edi Junaedi,5,2026-07-08 15:54:52,wah mudah banget cara penggunaannya asal jangan lupa password dan PIN pokoknya jangan ragu download aplikasi ini saya udah lama pakai aman trimakasih ya brimo sukses selalu
Diah Ayu,5,2026-07-08 15:54:46,sangat membantu saya untuk bertransaksi
Muklis senopati BF,5,2026-07-08 15:46:48,mantag
Laurentius GFJ456,5,2026-07-08 15:38:31,mantap..👍👍
Rinda Romasta,5,2026-07-08 15:37:01,transaksi nya cepat
Ayah Manik,5,2026-07-08 15:27:29,sangat memudahkan transaksi aman dan terpercaya
Nurhanani Artisya,1,2026-07-08 15:17:27,"Tolong ya sistemnya diupgrade lagi, saya mau ngirim verifikasi KTP saja susah hampir lebih 1 jam saya nunggu tetap aja loading gak kekirim dan itu udah saya coba lebih dari 5 harian tetap aja begitu muakk niat gak bikin apk??"
Jansen Galung,3,2026-07-08 15:16:38,membantu
K Rexsy,5,2026-07-08 15:11:07,nice
stepan a,1,2026-07-08 15:10:09,"aplikasi bodoh, baru download aja bikin emosi gagal"" trus!"
Farel Ikhwan,1,2026-07-08 15:04:54,aplikasi dengan verifikasi wajah tersusah yang pernah gw pake
Muhammad Ifnu,1,2026-07-08 15:02:38,"otp gua mana BB fak nongol"" pkmak"
Pandan Wangi,3,2026-07-08 14:54:34,baik cukup terbantu
Masalll Aja,5,2026-07-08 14:46:52,sangat mudah
Rama Widi,1,2026-07-08 14:43:13,bosokkk
Fir Syah,5,2026-07-08 14:39:43,bagus sekali
Yusup Hilmi,5,2026-07-08 14:36:54,siip
Mhd Ridwan,5,2026-07-08 14:30:32,flexible
Randy R,5,2026-07-08 14:05:22,kerenn
Mas Banjar,5,2026-07-08 14:02:52,"Cepat, mudah, akurat"
Hendri Crp25,4,2026-07-08 13:57:46,bagus dan cepat
Deddy Kurnia Amwal,5,2026-07-08 13:50:08,"Aplikasi perbankan paling lengkap untuk kebutuhan harian. Dari bayar tagihan listrik, beli pulsa, sampai bayar belanjaan online, semuanya ada di sini. Fitur scan QRIS-nya juga sangat lancar dipakai di mana saja. Benar-benar membuat transaksi jadi praktis!"
Fauzi,5,2026-07-08 13:47:04,aplikasi yang sangat membantu dan berguna sekali untuk nasabah Bank BRI
Munadia Lil khairi,5,2026-07-08 13:45:47,bagus suka<3
Mumuh Sihabudin kps,5,2026-07-08 13:45:37,transaksi jadi lebih mudah
Kiky,1,2026-07-08 13:34:46,"mau verifikasi ktp aja susah, dipersulit,"
Adi Purnomo,5,2026-07-08 13:27:44,ok bagus
Anggoro Haris,5,2026-07-08 13:25:03,Mudah dan sangat membantu!
Wayan Parka,5,2026-07-08 13:13:54,"sangat cepat dan praktis,"
Ikhwan Kholidi,5,2026-07-08 13:12:26,Mudah Cepat
yordanus toton,5,2026-07-08 13:06:37,sangat sangat membantu di mana pun berada
Muhibin Sufri,1,2026-07-08 13:06:34,"aplikasi gajelas pdhl username dan password sudah benar tapi tetap gabisa masukk, gajelas ni aplikasi"
Muhamad yusup brilian,5,2026-07-08 13:06:19,layanan bagus
Hapipi,1,2026-07-08 13:05:31,daftar nya sulit apa lagi pas poto ktp gagal trus
jack malaby,5,2026-07-08 13:04:55,ini gimana sih brimo buat transaksi kok katanya jaringan buruk ?????
ATEP ENUH ROHIMAT,5,2026-07-08 13:01:16,mantaps
Supriana Supriana,5,2026-07-08 13:00:12,lebih memudahkan
Mulya 69,1,2026-07-08 12:58:01,mau daftar az sulit
Abdulloh Mubarak,5,2026-07-08 12:56:36,bagus banget dan praktis 👍👍👍👍👍👍
DODIM Kur,1,2026-07-08 12:49:58,apk brimo suka berhenti sendiri
Dewi Ratnasari,5,2026-07-08 12:42:07,mempermudah transaksi
Heri Prasetyo,5,2026-07-08 12:33:52,"semakin mantap, terimakasih BRI semakin jaya👍👍👍"
Indonesia,5,2026-07-08 12:21:04,luar biasa saat transaksi pake BRImo memang nyaman ga ribet bahkan satset wah mantap pkonya sukses trus🙏🙏🙏
Elsa Saleh,5,2026-07-08 12:20:03,"Untuk sejauh ini dipakai aman, mudah dan bagus. Semoga amanah walaupun awal mendaftar susah"
Hantu rimba,4,2026-07-08 12:14:44,masa kesalahan jaringan terus
Moonlight44,1,2026-07-08 12:08:28,"investasi diBrimo bukan untung tapi malah buntung. DIJUAL pas hijau ga ngaruh, pas pencairan ga sinkron dgn data yg ditampilkan mau itu di email/ riwayat transaksi dibrimonya sendiri. pas uang masuk rekening ga sinkron buanget,ada biaya tersembunyi,tidak transfaran. alih2 dpt untung mlah modalku diambil.bank kebanyakan makan uang riba🙃kapok investasi dibank konvesional mentang2 lngsg cair ke apknya🙏seharusnya minimal balik modal ini mlah bikin rugi?lalufungsinya bayar bulanan Apk itu buat apa?"
Reksa R260,2,2026-07-08 11:54:40,"Aplikasi aneh, sinyal wifi sama data bagus tapi tetep ga bisa login dengan alasan "" koneksi mu kurang baik """
SHANZ HaRa,1,2026-07-08 11:52:00,"kecewa banget.,mau melakukan pendaftaran harus terhalang akibat sistem verifikasi wajah yang di batasi. sedangkan di kejar waktu harus punya brimo"
ly xxty,1,2026-07-08 11:43:43,"saat top up, kata brimo nya jaringan saya tidak bagus padahal sudah pakai data dan jaringannya lancar sekali. sudah 3 hari saya tidak bisa top up. tidak masuk akal."
gus mantra,5,2026-07-08 11:40:22,bagis
Syukron Maulana,1,2026-07-08 11:26:57,"mau buat rekening aja susah skali lewat cabang antrianya panjang, lewat aplikasi Code eror trus metok di poto KTP, woooiii indonesia bisa gak kalain bikin yg mudah jangab yg sulit Dongook"
Sun Tono,5,2026-07-08 11:22:39,sangat bagus dan menyenangkan
Dea Maulida,3,2026-07-08 11:11:52,susah mau ganti pin karna lupa pin jadi ke blokir dan terkunci akunnya
Adha Ravael,5,2026-07-08 11:10:02,okok
Zaharasmi Kahar,3,2026-07-08 11:04:37,kenapa selalu muncul error 507 saat foto KTP. padahal hasil fotonya dan sangat bagus. ditanya ke BRI katanya masalah jaringan. padahal segala macam jaringan dan coba tetap muncul error
Dilang Psht,4,2026-07-08 11:01:49,sangat membantu trimakasih brimo
TRIYANTO GG,1,2026-07-08 10:59:10,tolong lah mau narik uang masalah jaringan Mulu tempk susah Bnr lol bangt
Taryadicarox TAR,5,2026-07-08 10:54:08,"sangat membantu trimakasiih brimo,"
Hayati Ahyana,5,2026-07-08 10:51:57,bgus
